codigo,nombre,precio,laboratorio
303029,17-HIDROXI-PROGESTERONA,11616,imalab
302078,25 OH Vitamina D Total por inmunoensayo,19005,imalab
305005,AC. ANTI CENTROMERO (HEP2),8557,imalab
305086,AC. ANTI GLIADINA IGA,18379,imalab
305086,AC. ANTI GLIADINA IGG,18379,imalab
306169,AC/AG V.I.H.,6104,imalab
306056,ACAROTEST,4488,imalab
302035,ACETAMINOFENO,102400,imalab
309005,ACIDO 5 HIDROXIINDOLACETICO CUANTITATIVO,21133,imalab
309001,ACIDO ASCORBICO,2949,imalab
302002,ACIDO CITRICO,5344,imalab
309002,ACIDO DELTA AMINOLEVULINICO,168468,imalab
301002,ACIDO FOLICO,12800,imalab
301002,ACIDO FOLICO ERITROCITARIO,38400,imalab
302004,ACIDO LACTICO,4598,imalab
302005,ACIDO URICO,1718,imalab
309004,ACIDO URICO EN ORINA,2495,imalab
309004,ACIDO URICO EN ORINA 24 HRS,2495,imalab
302035,ACIDO VALPROICO,10256,imalab
301049,ACTIVIDAD ANTI FACTOR X ACTIVADO ,9536,imalab
303001,ADENOCORTICOTROFINA (ACTH),9678,imalab
301003,ADENOGRAMA,9334,imalab
302050,ADENOSINDEAMINASA (ADA),113180,imalab
306070,ADENOVIRUS - IFD,6303,imalab
306070,ADENOVIRUS EN DEPOSICIONES,6303,imalab
301006,AGREGACION PLAQUETARIA,7952,imalab
306068,AISLAMIENTO DE VIRUS (ADENOVIRUS CITOMEGALOVIRUS COXSAKIE HERPES I,10351,imalab
302101,ALBUMINA EN SANGRE,1663,imalab
308051,"ALBUMINAS EN EXUDADOS, SECRECIONES Y OTROS LIQUIDOS",1725,imalab
303002,ALDOSTERONA,11616,imalab
P303002,ALDOSTERONA EN ORINA,12800,imalab
305001,ALFA -1- ANTITRIPSINA,8816,imalab
305003,ALFA FETOPROTEINA ,5870,imalab
305110,ALOCROSS MATCH LINFOCITOS T Y LINFOCITOS B (CITOMETRÍA DE FLUJO),202790,imalab
302035,AMIKACINA,105600,imalab
302008,AMILASA,2694,imalab
308045,AMILASA EN LIQUIDO ASCITICO,5299,imalab
308045,AMILASA EN LIQUIDO CEFALORRAQUIDEO,5299,imalab
308045,AMILASA EN LIQUIDO DE DRENAJE,5299,imalab
308045,AMILASA EN LIQUIDO PERICARDICO,5299,imalab
